GeneName	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Notch2	267.560204749664	-1.74482461132434	0.33990735823966	-5.13323577447862	2.8480276069476e-07	2.11778513276334e-05
Mcm4	1499.66053964831	0.788002380644064	0.154066571352644	5.11468759073247	3.14260639573758e-07	2.32014140759598e-05
Mylip	658.659761766137	-1.00116402910878	0.19699605950516	-5.08215256499865	3.73181479405003e-07	2.73560551143979e-05
Hcfc1r1	507.936231784	-1.01997484160599	0.200780748199283	-5.08004303576767	3.77349374720127e-07	2.74667826556847e-05
Gimap6	2864.27120697184	-0.723356919681119	0.142613007571968	-5.07216650147488	3.9331202142512e-07	2.8428482891259e-05
Ccdc50	2566.03863955204	0.642092253542341	0.126825695236262	5.0627930905184	4.13158188007922e-07	2.92493358304786e-05
Il10rb	253.508287044954	-1.44218820328946	0.284847485501267	-5.06301890203292	4.12668919546927e-07	2.92493358304786e-05
Mcm2	2300.01921411344	0.851367291006517	0.168126402196911	5.06385243413102	4.10867731508266e-07	2.92493358304786e-05
Sla	431.286815937757	-1.31178262989627	0.259594903448557	-5.05319100055527	4.34489001217708e-07	3.05501926298383e-05
Osbpl5	185.054423276493	-1.86409274488085	0.369353509617851	-5.04690681512549	4.49020211448297e-07	3.1317224091557e-05
Ube2d1	223.771031624937	-1.4889807906251	0.295088896525654	-5.04587196657076	4.51457661536571e-07	3.1317224091557e-05
Gpr171	199.86407610443	-1.67941575337631	0.333230022483925	-5.03980926105578	4.65996041508601e-07	3.21102339002193e-05
Pp11r	436.068184013382	1.35542017395505	0.269450256871866	5.03031687440402	4.89669881812481e-07	3.35180655524093e-05
Adora2a	34.1030579269986	-2.02524362797438	0.403595240459788	-5.01800671798597	5.2210351800017e-07	3.53558097197955e-05
Pik3r5	94.9645786591451	-1.99903654595738	0.398409278493265	-5.01754515737559	5.23359025457499e-07	3.53558097197955e-05
Zbtb32	167.253562959552	-1.93192382334231	0.385266593671234	-5.01451165265294	5.31683306028869e-07	3.56849263059376e-05
Vdac3	1677.19988991033	0.795139397367691	0.159002352485326	5.00080272360167	5.70921077876385e-07	3.8071227489873e-05
Pecam1	241.690219599023	-1.46977813131412	0.294096368567659	-4.99760720770678	5.80460689870608e-07	3.84592416057859e-05
