x,y
69.3,0.03409648
69.4,0.032868598
69.5,0.031684775
69.6,0.030543438
69.7,0.029443073
69.8,0.028382216
69.9,0.027359456
70,0.026373432
70.1,0.025422831
70.2,0.024506388
70.3,0.02362288
70.4,0.02277113
70.5,0.021950001
70.6,0.021158397
70.7,0.020395262
70.8,0.019659576
70.9,0.018950355
71,0.018266652
71.1,0.017607551
71.2,0.016972172
71.3,0.016359664
71.4,0.015769206
71.5,0.015200007
71.6,0.014651305
71.7,0.014122364
71.8,0.013612475
71.9,0.013120955
72,0.012647142
72.1,0.012190402
72.2,0.011750122
72.3,0.011325709
72.4,0.010916593
72.5,0.010522226
72.6,0.010142077
72.7,0.009775634
72.8,0.009422405
72.9,0.009081914
73,0.008753704
73.1,0.008437333
73.2,0.008132375
73.3,0.007838418
73.4,0.007555068
73.5,0.007281942
73.6,0.007018672
73.7,0.006764904
73.8,0.006520295
73.9,0.006284515
74,0.006057247
74.1,0.005838184
74.2,0.005627031
74.3,0.005423501
74.4,0.005227322
74.5,0.005038227
74.6,0.004855961
74.7,0.004680279
74.8,0.004510943
74.9,0.004347724
75,0.004190402
75.1,0.004038764
75.2,0.003892605
75.3,0.003751727
75.4,0.00361594
75.5,0.003485061
75.6,0.003358912
75.7,0.003237322
75.8,0.003120128
75.9,0.00300717
76,0.002898295
76.1,0.002793357
76.2,0.002692213
76.3,0.002594727
76.4,0.002500765
76.5,0.002410202
76.6,0.002322913
76.7,0.002238782
76.8,0.002157694
76.9,0.002079538
77,0.00200421
77.1,0.001931607
77.2,0.001861631
77.3,0.001794186
77.4,0.001729182
77.5,0.001666529
77.6,0.001606144
77.7,0.001547944
77.8,0.001491851
77.9,0.001437787
78,0.00138568
78.1,0.00133546
78.2,0.001287057
78.3,0.001240406
78.4,0.001195444
78.5,0.00115211
78.6,0.001110345
78.7,0.001070092
78.8,0.001031296
78.9,0.000993906
79,0.000957869
79.1,0.000923138
79.2,0.000889664
79.3,0.000857403
79.4,0.00082631
79.5,0.000796343
79.6,0.000767462
79.7,0.000739627
79.8,0.0007128
79.9,0.000686946
80,0.000662028
